L,R
Wnt1,Fzd8
Wnt3a,Fzd8
Wnt5a,Fzd3
Wnt2,Fzd3
Wnt1,Fzd1
Wnt7b,Fzd1
Sema5a,Plxnb3
Il13,Il13ra2
Il15,Il15ra
Kng1,Bdkrb1
Kng2,Bdkrb1
Sema3f,Nrp2
Itgb1,Jam2
Itga4,Jam2
Itgb1,Plaur
Itga4,Plaur
Epha5,Efna3
Epha5,Efna5
Efna1,Epha5
Epha5,Efna4
Gdf9,Tgfbr1
Gdf9,Bmpr2
Gh,Ghr
Gh,Ghr
Tgfb2,Tgfbr3
Cga,Lhcgr
Csf2,Csf2rb
Csf2,Csf2rb2
Csf2,Csf2ra
Edar,Eda
Pdgfc,Flt4
Vegfc,Flt4
Ephb1,Efnb1
Efnb2,Ephb1
Efnb3,Ephb1
Cd72,Sema4d
Il11,Gm13305
Il11,Il11ra1
Il11,Il11ra2
Il11,Il11ra2
Il11,Il11ra2
Il11,Il6st
Il1rn,Il1r2
Il1rn,Il1rap
Il1rn,Il1r1
Ccl3,Ccr3
Ccl3,Ccr1
Ccl3,Ccr1l1
Dsc3,Dsg1c
Dsc3,Dsg1b
Dsc3,Dsg1a
Dsc3,Dsg2
Pgf,Flt1
Sema3c,Nrp2
Vegfc,Kdr
Ceacam10,Ceacam10
Ceacam10,Ceacam2
Ceacam10,Ceacam1
Ceacam2,Ceacam10
Ceacam2,Ceacam2
Ceacam2,Ceacam1
Ceacam1,Ceacam10
Ceacam1,Ceacam2
Ceacam1,Ceacam1
Cd8a,Ceacam10
Cd8a,Ceacam2
Cd8a,Ceacam1
Cd1d1,Ceacam10
Cd1d1,Ceacam2
Cd1d1,Ceacam1
Cd1d2,Ceacam10
Cd1d2,Ceacam2
Cd1d2,Ceacam1
Pthlh,Prlhr
Nppa,Npr3
Nppa,Npr2
Vip,Avpr1a
Avp,Avpr1a
Cd34,Sell
Podxl,Sell
Cntf,Cntfr
Cntf,Lifr
Cntf,Il6st
Ifng,Ifngr1
Ifng,Ifngr2
Ulbp1,Klrk1
Ulbp1,Hcst
Mill2,Klrk1
Mill1,Klrk1
Mill2,Hcst
Mill1,Hcst
Mill2,Klrk1
Mill1,Klrk1
Mill2,Hcst
Mill1,Hcst
Ulbp1,Klrk1
Ulbp1,Hcst
Ulbp1,Klrk1
Ulbp1,Hcst
Raet1e,Klrk1
Raet1d,Klrk1
Raet1e,Hcst
Raet1d,Hcst
Ulbp1,Klrk1
Ulbp1,Hcst
Nampt,Adora2a
Adora2a,Entpd1
Bmp2,Bmpr1a
Bmp2,Bmpr2
Bmp7,Bmpr1a
Bmp7,Bmpr2
Bmp4,Bmpr1a
Bmp4,Bmpr2
Bmp6,Bmpr1a
Bmp6,Bmpr2
Gdf5,Bmpr1a
Gdf5,Bmpr2
Bmp5,Bmpr1a
Bmp5,Bmpr2
Gdf6,Bmpr1a
Gdf6,Bmpr2
Gdf7,Bmpr1a
Gdf7,Bmpr2
Bmp2,Acvr2a
Bmp7,Acvr2a
Bmp4,Acvr2a
Bmp6,Acvr2a
Gdf5,Acvr2a
Bmp5,Acvr2a
Gdf6,Acvr2a
Gdf7,Acvr2a
Bmp2,Acvr2b
Bmp7,Acvr2b
Bmp4,Acvr2b
Bmp6,Acvr2b
Gdf5,Acvr2b
Bmp5,Acvr2b
Gdf6,Acvr2b
Gdf7,Acvr2b
Bmp2,Bmpr1b
Bmp7,Bmpr1b
Bmp4,Bmpr1b
Bmp6,Bmpr1b
Gdf5,Bmpr1b
Bmp5,Bmpr1b
Gdf6,Bmpr1b
Gdf7,Bmpr1b
Bmp7,Acvr1
Bmp6,Acvr1
Bmp5,Acvr1
Tnfsf13b,Tnfrsf13c
Tnfsf13b,Tnfrsf17
Tnfsf13,Tnfrsf17
Tnfsf13b,Tnfrsf13b
Tnfsf13,Tnfrsf13b
Cd40lg,Itga2b
Cd40lg,Itgb3
Cd40lg,Itgb1
Cd40lg,Itga5
Itgb1,L1cam
Itga5,L1cam
Ephb3,Efnb1
Efnb2,Ephb3
Efnb3,Ephb3
Ephb2,Efnb1
Efnb2,Ephb2
Efnb3,Ephb2
Cd274,Cd80
Edn2,Ednra
Cd47,Sirpa
Cd47,Sirpb1c
Cd47,Gm5150
Cd47,Gm9733
Cd47,Sirpb1b
Cd47,Sirpb1a
Cd47,Sirpa
Cd47,Sirpb1c
Cd47,Gm5150
Cd47,Gm9733
Cd47,Sirpb1b
Cd47,Sirpb1a
Cd47,Tyrobp
Cd70,Cd27
Lep,Lepr
Dll1,Notch2
Pecam1,Cd177
Pomc,Mc4r
Agrp,Mc4r
Ptn,Ptprs
Guca2b,Star
Guca2a,Star
Jam3,Jam2
Pthlh,Pth1r
Pthlh,Pth2r
Iapp,Ide
Lilra6,Bst2
Pirb,Bst2
Lilra5,Bst2
Gm14548,Bst2
Gm15448,Bst2
Gm15922,Bst2
Pira2,Bst2
Apln,Aplnr
Psap,Gpr37l1
Wnt3a,Ryk
Wnt3a,Fzd1
Wnt1,Ryk
Gal,Galr1
Galp,Galr1
Gal,Galr2
Galp,Galr2
Gal,Galr3
Galp,Galr3
Ghrl,Ptger3
Icam2,Itgb2
Icam2,Itgal
F11r,Itgb2
F11r,Itgal
Rlf,Rxfp1
Rln1,Rxfp1
Rln1,Rxfp1
Rln1,Rxfp1
Crlf2,Il7r
Crlf2,Crlf2
Il6,Hrh1
Lif,Lifr
Lif,Il6st
Mstn,Acvr1b
Mstn,Acvr2b
Gdf11,Acvr1b
Gdf11,Acvr2b
Gdf3,Acvr1b
Gdf3,Acvr2b
Gdf10,Acvr1b
Gdf10,Acvr2b
Mstn,Acvr2a
Gdf11,Acvr2a
Mstn,Tgfbr1
Gdf11,Tgfbr1
Tnfsf11,Tnfrsf11a
Adora2b,Entpd1
Adora3,Entpd1
Tmigd3,Entpd1
Ifnl2,Il10rb
Ifnl2,Gm21970
Ifnl3,Il10rb
Ifnl3,Gm21970
Ifnl2,Ifnlr1
Ifnl3,Ifnlr1
Ifnl2,Il10rb
Ifnl2,Gm21970
Ifnl3,Il10rb
Ifnl3,Gm21970
Ifnl2,Ifnlr1
Ifnl3,Ifnlr1
Inhbe,Acvr2b
Inhbe,Acvr2a
Grp,Grpr
Ucma,Grpr
Crtam,Cadm1
Igf1,Igf1r
Igf1,Itgb4
Igf1,Itga6
Sirpa,Cd47
Sirpb1c,Cd47
Gm5150,Cd47
Gm9733,Cd47
Sirpb1b,Cd47
Sirpb1a,Cd47
Nppc,Npr1
Adm,Mrgprb2
Adm,Mrgpra1
Adm,Mrgprb8
Adm,Mrgpra6
Adm,Mrgpra4
Adm,Mrgprb3
Adm,Mrgprb1
Adm,Mrgprb4
Adm,Mrgprb5
Adm,Mrgprx1
Adm,Mrgprx2
Adm,Mrgpra9
